AUC,Accuracy,ClassificationReport,F1-Macro,F1-Micro,F1-Weighted,Precision-Macro,Precision-Micro,Precision-Weighted,Recall-Macro,Recall-Micro,Recall-Weighted
0.8994690674053555,0.7719298245614035,"              precision    recall  f1-score   support

           0       0.94      0.58      0.72       114
           1       0.70      0.96      0.81       114

    accuracy                           0.77       228
   macro avg       0.82      0.77      0.76       228
weighted avg       0.82      0.77      0.76       228
",0.7631074168797954,0.7719298245614035,0.7631074168797953,0.8195298372513562,0.7719298245614035,0.8195298372513562,0.7719298245614035,0.7719298245614035,0.7719298245614035
0.8079024315173899,0.6929824561403509,"              precision    recall  f1-score   support

           0       0.98      0.39      0.56       114
           1       0.62      0.99      0.76       114

    accuracy                           0.69       228
   macro avg       0.80      0.69      0.66       228
weighted avg       0.80      0.69      0.66       228
",0.6630067567567568,0.6929824561403509,0.6630067567567567,0.7995699952221691,0.6929824561403509,0.7995699952221691,0.6929824561403508,0.6929824561403509,0.6929824561403509
0.8886580486303478,0.7587719298245614,"              precision    recall  f1-score   support

           0       1.00      0.52      0.68       114
           1       0.67      1.00      0.81       114

    accuracy                           0.76       228
   macro avg       0.84      0.76      0.74       228
weighted avg       0.84      0.76      0.74       228
",0.7438673175514205,0.7587719298245615,0.7438673175514207,0.8372781065088757,0.7587719298245614,0.8372781065088757,0.7587719298245614,0.7587719298245614,0.7587719298245614
0.8831948291782088,0.7324561403508771,"              precision    recall  f1-score   support

           0       0.95      0.49      0.65       114
           1       0.66      0.97      0.78       114

    accuracy                           0.73       228
   macro avg       0.80      0.73      0.72       228
weighted avg       0.80      0.73      0.72       228
",0.7159255703752119,0.7324561403508771,0.715925570375212,0.8029786380503461,0.7324561403508771,0.8029786380503461,0.7324561403508771,0.7324561403508771,0.7324561403508771
0.8576869806094183,0.7631578947368421,"              precision    recall  f1-score   support

           0       0.94      0.56      0.70       114
           1       0.69      0.96      0.80       114

    accuracy                           0.76       228
   macro avg       0.81      0.76      0.75       228
weighted avg       0.81      0.76      0.75       228
",0.7531082056629501,0.7631578947368421,0.7531082056629502,0.8143382352941176,0.7631578947368421,0.8143382352941178,0.763157894736842,0.7631578947368421,0.7631578947368421
0.856917513080948,0.7850877192982456,"              precision    recall  f1-score   support

           0       0.99      0.58      0.73       114
           1       0.70      0.99      0.82       114

    accuracy                           0.79       228
   macro avg       0.84      0.79      0.78       228
weighted avg       0.84      0.79      0.78       228
",0.7755499748869914,0.7850877192982457,0.7755499748869914,0.8434689904514694,0.7850877192982456,0.8434689904514694,0.7850877192982456,0.7850877192982456,0.7850877192982456
0.9133194829178208,0.7456140350877193,"              precision    recall  f1-score   support

           0       1.00      0.49      0.66       114
           1       0.66      1.00      0.80       114

    accuracy                           0.75       228
   macro avg       0.83      0.75      0.73       228
weighted avg       0.83      0.75      0.73       228
",0.7280131633072809,0.7456140350877193,0.728013163307281,0.8313953488372092,0.7456140350877193,0.8313953488372092,0.7456140350877193,0.7456140350877193,0.7456140350877193
0.9100492459218221,0.7631578947368421,"              precision    recall  f1-score   support

           0       0.98      0.54      0.69       114
           1       0.68      0.99      0.81       114

    accuracy                           0.76       228
   macro avg       0.83      0.76      0.75       228
weighted avg       0.83      0.76      0.75       228
",0.7501623376623376,0.7631578947368421,0.7501623376623376,0.8322969296541003,0.7631578947368421,0.8322969296541003,0.763157894736842,0.7631578947368421,0.7631578947368421
0.8838201895214974,0.7522123893805309,"              precision    recall  f1-score   support

           0       1.00      0.50      0.67       113
           1       0.67      1.00      0.80       113

    accuracy                           0.75       226
   macro avg       0.83      0.75      0.74       226
weighted avg       0.83      0.75      0.74       226
",0.7360033375052148,0.7522123893805309,0.7360033375052147,0.834319526627219,0.7522123893805309,0.8343195266272189,0.752212389380531,0.7522123893805309,0.7522123893805309
0.8968204244655024,0.7300884955752213,"              precision    recall  f1-score   support

           0       1.00      0.46      0.63       113
           1       0.65      1.00      0.79       113

    accuracy                           0.73       226
   macro avg       0.82      0.73      0.71       226
weighted avg       0.82      0.73      0.71       226
",0.7088797381480308,0.7300884955752213,0.7088797381480308,0.8247126436781609,0.7300884955752213,0.8247126436781609,0.7300884955752213,0.7300884955752213,0.7300884955752213
