Accuracy,BrierScoreBinary,BrierScoreProba,ClassificationReport,F1-Macro,F1-Micro,F1-Weighted,Precision-Macro,Precision-Micro,Precision-Weighted,Recall-Macro,Recall-Micro,Recall-Weighted
0.9181034482758621,0.08189655172413793,0.15402717011250944,"              precision    recall  f1-score   support

           0       0.98      0.85      0.91       116
           1       0.87      0.98      0.92       116

    accuracy                           0.92       232
   macro avg       0.93      0.92      0.92       232
weighted avg       0.93      0.92      0.92       232
",0.9177596596951436,0.9181034482758621,0.9177596596951436,0.9252135137177839,0.9181034482758621,0.9252135137177839,0.9181034482758621,0.9181034482758621,0.9181034482758621
0.9051724137931034,0.09482758620689655,0.15065644056903227,"              precision    recall  f1-score   support

           0       0.94      0.87      0.90       116
           1       0.88      0.94      0.91       116

    accuracy                           0.91       232
   macro avg       0.91      0.91      0.91       232
weighted avg       0.91      0.91      0.91       232
",0.9050595238095239,0.9051724137931035,0.905059523809524,0.9071087216248507,0.9051724137931034,0.9071087216248507,0.9051724137931034,0.9051724137931034,0.9051724137931034
0.8658008658008658,0.1341991341991342,0.17010889180896688,"              precision    recall  f1-score   support

           0       0.99      0.74      0.85       115
           1       0.79      0.99      0.88       116

    accuracy                           0.87       231
   macro avg       0.89      0.87      0.86       231
weighted avg       0.89      0.87      0.86       231
",0.8634985989592268,0.8658008658008658,0.8635753411872815,0.890737770649559,0.8658008658008658,0.8903151112453438,0.8652548725637181,0.8658008658008658,0.8658008658008658
0.9347826086956522,0.06521739130434782,0.14609301711382405,"              precision    recall  f1-score   support

           0       0.98      0.89      0.93       115
           1       0.90      0.98      0.94       115

    accuracy                           0.93       230
   macro avg       0.94      0.93      0.93       230
weighted avg       0.94      0.93      0.93       230
",0.9346330927073268,0.9347826086956522,0.9346330927073268,0.9387973137973138,0.9347826086956522,0.9387973137973137,0.9347826086956521,0.9347826086956522,0.9347826086956522
0.908695652173913,0.09130434782608696,0.1473224161518663,"              precision    recall  f1-score   support

           0       0.94      0.87      0.90       115
           1       0.88      0.95      0.91       115

    accuracy                           0.91       230
   macro avg       0.91      0.91      0.91       230
weighted avg       0.91      0.91      0.91       230
",0.9085556333895,0.908695652173913,0.9085556333895001,0.9112142422398053,0.908695652173913,0.9112142422398053,0.908695652173913,0.908695652173913,0.908695652173913
0.9434782608695652,0.05652173913043478,0.15241532001865904,"              precision    recall  f1-score   support

           0       0.94      0.95      0.94       115
           1       0.95      0.94      0.94       115

    accuracy                           0.94       230
   macro avg       0.94      0.94      0.94       230
weighted avg       0.94      0.94      0.94       230
",0.9434771923854894,0.9434782608695652,0.9434771923854893,0.9435117967332123,0.9434782608695652,0.9435117967332123,0.9434782608695652,0.9434782608695652,0.9434782608695652
0.8434782608695652,0.1565217391304348,0.16402327226284547,"              precision    recall  f1-score   support

           0       0.89      0.78      0.83       115
           1       0.81      0.90      0.85       115

    accuracy                           0.84       230
   macro avg       0.85      0.84      0.84       230
weighted avg       0.85      0.84      0.84       230
",0.842896174863388,0.8434782608695653,0.842896174863388,0.848645329649244,0.8434782608695652,0.848645329649244,0.8434782608695652,0.8434782608695652,0.8434782608695652
0.9,0.1,0.15986199825218064,"              precision    recall  f1-score   support

           0       0.94      0.85      0.89       115
           1       0.87      0.95      0.90       115

    accuracy                           0.90       230
   macro avg       0.90      0.90      0.90       230
weighted avg       0.90      0.90      0.90       230
",0.8997707421512344,0.9,0.8997707421512344,0.9036935286935287,0.9,0.9036935286935287,0.8999999999999999,0.9,0.9
0.8225108225108225,0.1774891774891775,0.16750619830415264,"              precision    recall  f1-score   support

           0       0.90      0.72      0.80       116
           1       0.77      0.92      0.84       115

    accuracy                           0.82       231
   macro avg       0.84      0.82      0.82       231
weighted avg       0.84      0.82      0.82       231
",0.8208862076138965,0.8225108225108225,0.820812361482218,0.8356708742402992,0.8225108225108225,0.8359633198342875,0.8229385307346326,0.8225108225108225,0.8225108225108225
0.9043478260869565,0.09565217391304348,0.1568556945402245,"              precision    recall  f1-score   support

           0       0.99      0.82      0.90       115
           1       0.84      0.99      0.91       115

    accuracy                           0.90       230
   macro avg       0.92      0.90      0.90       230
weighted avg       0.92      0.90      0.90       230
",0.9036190476190475,0.9043478260869565,0.9036190476190477,0.9169590643274854,0.9043478260869565,0.9169590643274854,0.9043478260869566,0.9043478260869565,0.9043478260869565
